,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Yapı Tipi,Net Metrekare,Brüt Metrekare,Salon Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Aidat,Kira Getirisi,Banyo Sayısı,WC Sayısı,Site İçerisinde,Eşya Durumu,Kullanım Durumu,Fiyat Durumu,Yapı Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Takas,Fiyat
304,9206795,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,130 m2,160 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,20,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,1,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,945,000TL"
305,9206752,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,135 m2,170 m2,Belirtilmemiş,4+1,3,6. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"3,650,000TL"
306,9206600,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,200 m2,250 m2,Belirtilmemiş,4+1,4,10. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"3,650,000TL"
307,9208549,06 Şubat 2021,07 Şubat 2021,Konut,Satılık,Betonarme,105 m2,120 m2,30 m2,3+1,20 Ve Üzeri,6. Kat,8,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"895,000TL"
308,9207007,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,85 m2,110 m2,Belirtilmemiş,2+1,20 Ve Üzeri,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Boş,Birim Fiyat,Sıfır,Krediye Uygun,Belirtilmemiş,Yok,"1,475,000TL"
309,9206813,05 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,140 m2,190 m2,Belirtilmemiş,4+1,0 (Yeni),1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Var,"5,000,000TL"
310,9206959,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,130 m2,160 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,1,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,595,000TL"
311,9206906,05 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,160 m2,180 m2,40 m2,3+1,20 Ve Üzeri,1. Kat,8,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,1,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"1,595,000TL"
312,9207494,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,70 m2,80 m2,Belirtilmemiş,1+1,20 Ve Üzeri,Düz Giriş,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"530,000TL"
313,9207495,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,200 m2,230 m2,Belirtilmemiş,6+2,20 Ve Üzeri,5. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,350,000TL"
314,9206712,05 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,135 m2,170 m2,Belirtilmemiş,4+1,3,9. Kat,15,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"5,500,000TLarrow_downward"
315,9205919,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,190 m2,245 m2,Belirtilmemiş,4+1,11-20,8. Kat,20,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"4,500,000TL"
316,9205851,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,150 m2,Belirtilmemiş,3+1,4,10-20. Kat,20,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"3,650,000TL"
317,9202966,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,105 m2,135 m2,Belirtilmemiş,3+1,2,2. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"2,050,000TL"
318,9202963,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,160 m2,190 m2,Belirtilmemiş,4+2,2,9. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"2,800,000TL"
319,9202960,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,130 m2,170 m2,Belirtilmemiş,4+1,1,12. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"2,750,000TL"
320,9202958,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,145 m2,180 m2,Belirtilmemiş,4+1,4,3. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"2,495,000TL"
321,9205732,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,115 m2,150 m2,Belirtilmemiş,3+1,4,4. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,875,000TL"
322,9206455,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,105 m2,Belirtilmemiş,2+1,2,Yüksek Giriş,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun Değil,Belirtilmemiş,Yok,"1,950,000TL"
323,9202967,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,100 m2,120 m2,Belirtilmemiş,3+1,5-10,3. Kat,5,Kombi Doğalgaz,350 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,975,000TL"
324,9201782,04 Şubat 2021,04 Şubat 2021,Konut,Satılık,Betonarme,65 m2,75 m2,30 m2,2+1,20 Ve Üzeri,Düz Giriş,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"865,000TL"
325,9206429,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,135 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,600,000TL"
326,9204144,05 Şubat 2021,05 Şubat 2021,Konut,Satılık,Belirtilmemiş,135 m2,160 m2,Belirtilmemiş,3+1,20 Ve Üzeri,4. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,050,000TL"
327,9202971,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,124 m2,160 m2,Belirtilmemiş,3+1,20 Ve Üzeri,7. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,695,000TL"
328,9201853,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,75 m2,90 m2,Belirtilmemiş,2+1,1,8. Kat,13,Merkezi (Pay Ölçer),150 TL,3.500 TL,1,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"935,000TL"
329,9203591,04 Şubat 2021,04 Şubat 2021,Konut,Satılık,Belirtilmemiş,270 m2,300 m2,Belirtilmemiş,6+2,4,12. Kat,12,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"4,000,000TL"
330,9202974,04 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,160 m2,180 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,8,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,595,000TL"
331,9204785,05 Şubat 2021,14 Şubat 2021,Konut,Satılık,Belirtilmemiş,145 m2,175 m2,Belirtilmemiş,3+1,20 Ve Üzeri,3. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Bilinmiyor,Bilinmiyor,Yok,"2,600,000TL"
