,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Yapı Tipi,Net Metrekare,Brüt Metrekare,Salon Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Aidat,Kira Getirisi,Banyo Sayısı,WC Sayısı,Site İçerisinde,Eşya Durumu,Kullanım Durumu,Fiyat Durumu,Yapı Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Takas,Fiyat
0,9253451,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,90 m2,116 m2,28 m2,2+1,0 (Yeni),10. Kat,11,Merkezi (Pay Ölçer),280 TL,5.500 TL,2,2,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"1,650,000TL"
1,9253422,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,95 m2,120 m2,32 m2,2+1,1,13. Kat,15,Merkezi (Pay Ölçer),180 TL,5.000 TL,2,2,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,225,000TL"
2,9248811,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,90 m2,100 m2,Belirtilmemiş,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,2,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"620,000TL"
3,9248525,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,700 m2,750 m2,Belirtilmemiş,8+ Oda,20 Ve Üzeri,Müstakil,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,6+,6+,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,600,000TL"
4,9247767,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,124 m2,160 m2,43 m2,3+1,2,1. Kat,9,Merkezi (Pay Ölçer),450 TL,Belirtilmemiş,2,2,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"2,765,000TL"
5,9239506,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,70 m2,85 m2,20 m2,2+1,20 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,50 TL,2.000 TL,1,1,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"395,000TL"
6,9236678,13 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,130 m2,Belirtilmemiş,3+1,20 Ve Üzeri,4. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"995,000TL"
7,9226436,11 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,125 m2,Belirtilmemiş,3+1,2,6. Kat,13,Kombi Doğalgaz,230 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,565,000TL"
8,9211575,07 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,84 m2,101 m2,Belirtilmemiş,2+1,5-10,6. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,700,000TL"
9,9178275,28 Ocak 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,112 m2,Belirtilmemiş,3+1,0 (Yeni),9. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,650,000TL"
10,9173611,27 Ocak 2021,16 Şubat 2021,Konut,Satılık,Belirtilmemiş,95 m2,115 m2,Belirtilmemiş,2+1,20 Ve Üzeri,2. Kat,3,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"625,000TL"
11,9149367,21 Ocak 2021,14 Şubat 2021,Konut,Satılık,Belirtilmemiş,75 m2,100 m2,Belirtilmemiş,2+1,3,15. Kat,23,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"850,000TL"
12,9051447,22 Aralık 2020,15 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,140 m2,Belirtilmemiş,3+1,20 Ve Üzeri,10. Kat,13,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"770,000TL"
13,9008753,10 Aralık 2020,19 Şubat 2021,Konut,Satılık,Betonarme,210 m2,270 m2,Belirtilmemiş,5+2,1,9. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"5,250,000TL"
14,8945823,21 Kasım 2020,14 Şubat 2021,Konut,Satılık,Belirtilmemiş,225 m2,275 m2,Belirtilmemiş,4+2,20 Ve Üzeri,5. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,950,000TL"
15,8388773,22 Haziran 2020,01 Şubat 2021,Konut,Satılık,Betonarme,65 m2,85 m2,25 m2,1 Oda,0 (Yeni),8. Kat,20,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"485,000TL"
16,7826444,22 Aralık 2019,13 Şubat 2021,Konut,Satılık,Belirtilmemiş,89 m2,116 m2,Belirtilmemiş,2+1,0 (Yeni),9. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Belirtilmemiş,"1,650,000TLarrow_downward"
17,9255417,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,105 m2,140 m2,Belirtilmemiş,3+1,4,2. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,795,000TL"
18,9255888,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,101 m2,135 m2,Belirtilmemiş,3+1,2,5. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"2,150,000TL"
19,9255544,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,65 m2,80 m2,Belirtilmemiş,2+1,20 Ve Üzeri,4. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,2.000 TL,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"595,000TL"
20,9255227,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,105 m2,130 m2,Belirtilmemiş,2+1,20 Ve Üzeri,Bahçe Katı,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,795,000TL"
21,9253775,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,256 m2,330 m2,Belirtilmemiş,5+1,5-10,14. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"6,500,000TL"
22,9253734,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,124 m2,140 m2,Belirtilmemiş,3+1,20 Ve Üzeri,9. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun Değil,Bilinmiyor,Yok,"1,250,000TL"
23,9253627,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,110 m2,140 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,6,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,495,000TL"
24,9253463,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,75 m2,95 m2,Belirtilmemiş,2+1,0 (Yeni),6. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Bilinmiyor,Yok,"860,000TL"
25,9252980,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,100 m2,135 m2,Belirtilmemiş,3+1,20 Ve Üzeri,5. Kat,11,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Var,"1,040,000TL"
26,9252332,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,82 m2,110 m2,35 m2,2+1,20 Ve Üzeri,Yüksek Giriş,3,Merkezi Doğalgaz,220 TL,7.000 TL,1,1,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"1,475,000TL"
27,9252005,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,100 m2,135 m2,29 m2,3+1,4,2. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"2,795,000TL"
28,9255385,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,110 m2,Belirtilmemiş,2+1,1,3. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,525,000TL"
29,9252488,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,100 m2,130 m2,Belirtilmemiş,3+1,20 Ve Üzeri,6. Kat,7,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,175,000TL"
30,9254570,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,124 m2,165 m2,Belirtilmemiş,3+1,2,1. Kat,9,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"2,765,000TL"
31,9253388,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,165 m2,180 m2,45 m2,3+1,20 Ve Üzeri,1. Kat,17,Yerden Isıtma,275 TL,7.000 TL,3,3,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"1,945,000TL"
32,9253942,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,110 m2,145 m2,Belirtilmemiş,3+2,4,13. Kat,13,Merkezi (Pay Ölçer),200 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,325,000TL"
33,9253733,19 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,145 m2,180 m2,Belirtilmemiş,4+1,0 (Yeni),10. Kat,11,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"6,800,000TL"
34,9251269,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,123 m2,160 m2,43 m2,3+1,3,9. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"6,650,000TL"
35,9250869,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,95 m2,130 m2,Belirtilmemiş,3+1,1,10. Kat,15,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,195,000TL"
36,9249401,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,80 m2,96 m2,Belirtilmemiş,2+1,2,Yüksek Giriş,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"1,295,000TL"
37,9249203,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,75 m2,110 m2,Belirtilmemiş,2+1,0 (Yeni),5. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,250,000TL"
38,9249201,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,75 m2,110 m2,Belirtilmemiş,2+1,0 (Yeni),11. Kat,11,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,200,000TL"
39,9251281,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,130 m2,160 m2,Belirtilmemiş,3+1,20 Ve Üzeri,6. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,645,000TL"
40,9251777,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,100 m2,115 m2,Belirtilmemiş,3+1,20 Ve Üzeri,Kot 2,6,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"840,000TL"
41,9249204,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,95 m2,135 m2,Belirtilmemiş,3+1,1,7. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,700,000TL"
42,9248460,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,105 m2,140 m2,Belirtilmemiş,3+1,20 Ve Üzeri,3. Kat,13,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Belirtilmemiş,"820,000TL"
43,9250256,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,145 m2,180 m2,Belirtilmemiş,3+1,0 (Yeni),11. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"3,600,000TL"
44,9250799,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,100 m2,135 m2,Belirtilmemiş,3+1,2,10-20. Kat,15,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"2,800,000TL"
45,9241609,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Belirtilmemiş,146 m2,180 m2,Belirtilmemiş,4+1,2,2. Kat,13,Merkezi (Pay Ölçer),250 TL,8.000 TL,2,2,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"4,000,000TL"
46,9241558,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,105 m2,140 m2,33 m2,3+1,20 Ve Üzeri,4. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,2,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"2,200,000TL"
47,9241545,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Belirtilmemiş,142 m2,172 m2,Belirtilmemiş,4+1,0 (Yeni),3. Kat,8,Kombi Doğalgaz,300 TL,8.000 TL,2,2,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"3,400,000TL"
48,9241456,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,100 m2,120 m2,27 m2,3+1,20 Ve Üzeri,3. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,985,000TL"
49,9241399,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Belirtilmemiş,125 m2,155 m2,Belirtilmemiş,4+1,4,3. Kat,10,Kombi Doğalgaz,Belirtilmemiş,5.000 TL,2,2,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Belirtilmemiş,"2,495,000TL"
50,9243817,16 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,180 m2,220 m2,40 m2,4+1,11-20,16. Kat,17,Kombi Doğalgaz,950 TL,10.000 TL,2,2,Evet,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"3,600,000TL"
51,9243391,16 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,125 m2,150 m2,35 m2,4+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,140 TL,5.000 TL,1,1,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,250,000TL"
52,9243391,16 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,125 m2,150 m2,35 m2,4+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,140 TL,5.000 TL,1,1,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,
53,9243391,16 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,125 m2,150 m2,35 m2,4+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,140 TL,5.000 TL,1,1,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,
54,9253460,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,75 m2,95 m2,Belirtilmemiş,2+1,0 (Yeni),5. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Bilinmiyor,Yok,"850,000TL"
55,9250668,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,140 m2,180 m2,Belirtilmemiş,4+1,0 (Yeni),9. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,Sıfır,Krediye Uygun,Belirtilmemiş,Yok,"1,790,000TL"
56,9250603,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,120 m2,155 m2,Belirtilmemiş,3+1,2,8. Kat,15,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"5,150,000TL"
57,9249660,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,165 m2,200 m2,Belirtilmemiş,4+1,20 Ve Üzeri,9. Kat,9,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,125,000TL"
58,9249659,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,105 m2,145 m2,Belirtilmemiş,3+1,2,6. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,250,000TL"
59,9249200,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,140 m2,180 m2,Belirtilmemiş,4+1,1,7. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,975,000TL"
60,9250724,18 Şubat 2021,19 Şubat 2021,Konut,Satılık,Belirtilmemiş,125 m2,165 m2,Belirtilmemiş,3+1,20 Ve Üzeri,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Kiracı Oturuyor,Birim Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,600,000TL"
61,9247909,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,160 m2,190 m2,40 m2,4+1,0 (Yeni),1. Kat,4,Kombi Doğalgaz,500 TL,6.500 TL,2,2,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"5,250,000TL"
62,9247800,17 Şubat 2021,19 Şubat 2021,Konut,Satılık,Betonarme,190 m2,230 m2,45 m2,5+2,5-10,14. Kat,14,Merkezi (Pay Ölçer),240 TL,10.000 TL,3,3,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"4,750,000TL"
63,9247766,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,190 m2,230 m2,45 m2,5+2,5-10,14. Kat,14,Merkezi (Pay Ölçer),240 TL,10.000 TL,3,3,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"4,750,000TL"
64,9247738,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,180 m2,200 m2,40 m2,4+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,380 TL,6.000 TL,1,1,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"4,750,000TL"
65,9247686,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,120 m2,150 m2,30 m2,3+1,3,7. Kat,12,Merkezi (Pay Ölçer),500 TL,7.500 TL,2,2,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"4,500,000TL"
66,9247647,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,120 m2,150 m2,30 m2,3+1,3,3. Kat,12,Merkezi (Pay Ölçer),500 TL,7.500 TL,2,2,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"4,500,000TL"
67,9247509,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,110 m2,140 m2,30 m2,3+1,1,3. Kat,14,Kombi Doğalgaz,450 TL,7.000 TL,2,2,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"4,000,000TL"
68,9247499,17 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,250 m2,290 m2,50 m2,5+1,3,11. Kat,11,Merkezi (Pay Ölçer),200 TL,8.000 TL,3,3,Hayır,Eşyalı,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"3,950,000TL"
69,9246343,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,95 m2,120 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,275,000TL"
70,9246075,16 Şubat 2021,16 Şubat 2021,Konut,Satılık,Betonarme,90 m2,110 m2,30 m2,2+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,0 TL,2.700 TL,1,1,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Var,"650,000TL"
71,9245632,16 Şubat 2021,16 Şubat 2021,Konut,Satılık,Belirtilmemiş,82 m2,113 m2,Belirtilmemiş,3+1,0 (Yeni),12. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,550,000TL"
72,9245427,16 Şubat 2021,16 Şubat 2021,Konut,Satılık,Belirtilmemiş,80 m2,90 m2,Belirtilmemiş,2+1,0 (Yeni),11. Kat,11,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Var,"830,000TL"
